Date,City,State,Country,Category
7-Mar-87,Raymond,Washington,United States,early_gigs
18-Apr-87,Tacoma,Washington,United States,early_gigs
1-May-87,Olympia,Washington,United States,early_gigs
6-May-87,Olympia,Washington,United States,early_gigs
12-Jun-87,Tacoma,Washington,United States,early_gigs
27-Jun-87,Tacoma,Washington,United States,early_gigs
9-Aug-87,Tacoma,Washington,United States,early_gigs
23-Jan-88,Tacoma,Washington,United States,early_gigs
24-Jan-88,Aberdeen,Washington,United States,early_gigs
12-Mar-88,Olympia,Washington,United States,early_gigs
19-Mar-88,Tacoma,Washington,United States,early_gigs
26-Mar-88,Olympia,Washington,United States,early_gigs
10-Apr-88,Seattle,Washington,United States,early_gigs
24-Apr-88,Seattle,Washington,United States,early_gigs
14-May-88,Olympia,Washington,United States,early_gigs
21-May-88,Olympia,Washington,United States,early_gigs
27-May-88,Olympia,Washington,United States,early_gigs
29-May-88,Seattle,Washington,United States,early_gigs
2-Jun-88,Seattle,Washington,United States,early_gigs
17-Jun-88,Ellensburg,Washington,United States,early_gigs
29-Jun-88,Seattle,Washington,United States,early_gigs
3-Jul-88,Seattle,Washington,United States,early_gigs
23-Jul-88,Seattle,Washington,United States,early_gigs
30-Jul-88,Seattle,Washington,United States,early_gigs
20-Aug-88,Olympia,Washington,United States,early_gigs
29-Aug-88,Seattle,Washington,United States,early_gigs
23-Oct-88,Bainbridge Island,Washington,United States,early_gigs
28-Oct-88,Seattle,Washington,United States,early_gigs
30-Oct-88,Olympia,Washington,United States,early_gigs
23-Nov-88,Bellingham,Washington,United States,early_gigs
1-Dec-88,Seattle,Washington,United States,early_gigs
21-Dec-88,Hoquiam,Washington,United States,early_gigs
28-Dec-88,Seattle,Washington,United States,early_gigs
6-Jan-89,Portland,Oregon,United States,early_gigs
21-Jan-89,Portland,Oregon,United States,early_gigs
5-Feb-89,Olympia,Washington,United States,early_gigs
10-Feb-89,San Francisco,California,United States,early_gigs
11-Feb-89,San Jose,California,United States,early_gigs
25-Feb-89,Seattle,Washington,United States,early_gigs
26-Feb-89,Olympia,Washington,United States,early_gigs
1-Apr-89,Olympia,Washington,United States,early_gigs
7-Apr-89,Seattle,Washington,United States,early_gigs
14-Apr-89,Ellensburg,Washington,United States,early_gigs
26-Apr-89,Seattle,Washington,United States,early_gigs
26-May-89,Auburn,Washington,United States,early_gigs
9-Jun-89,Seattle,Washington,United States,early_gigs
10-Jun-89,Portland,Oregon,United States,early_gigs
16-Jun-89,Olympia,Washington,United States,early_gigs
21-Jun-89,Seattle,Washington,United States,bleach_club_tour
22-Jun-89,San Francisco,California,United States,bleach_club_tour
23-Jun-89,Los Angeles,California,United States,bleach_club_tour
24-Jun-89,Los Angeles,California,United States,bleach_club_tour
25-Jun-89,Tempe,Arizona,United States,bleach_club_tour
27-Jun-89,Santa Fe,New Mexico,United States,bleach_club_tour
30-Jun-89,San Antonio,Texas,United States,bleach_club_tour
1-Jul-89,Houston,Texas,United States,bleach_club_tour
2-Jul-89,Fort Worth,Texas,United States,bleach_club_tour
3-Jul-89,Dallas,Texas,United States,bleach_club_tour
4-Jul-89,Carbondale,Illinois,United States,bleach_club_tour
5-Jul-89,Iowa City,Iowa,United States,bleach_club_tour
6-Jul-89,Minneapolis,Minnesota,United States,bleach_club_tour
7-Jul-89,Madison,Wisconsin,United States,bleach_club_tour
8-Jul-89,Chicago,Illinois,United States,bleach_club_tour
9-Jul-89,Wilkinsburg,Pennsylvania,United States,bleach_club_tour
12-Jul-89,Philadelphia,Pennsylvania,United States,bleach_club_tour
13-Jul-89,Hoboken,New Jersey,United States,bleach_club_tour
15-Jul-89,Jamaica Plain,Massachusetts,United States,bleach_club_tour
18-Jul-89,New York,New York,United States,bleach_club_tour
26-Aug-89,Seattle,Washington,United States,bleach_club_tour
28-Aug-89,Seattle,Washington,United States,bleach_club_tour
9-Sep-89,Chicago,Illinois,United States,bleach_club_tour
13-Sep-89,Englewood,Colorado,United States,bleach_club_tour
26-Sep-89,Seattle,Washington,United States,bleach_club_tour
28-Sep-89,Minneapolis,Minnesota,United States,bleach_club_tour
30-Sep-89,Chicago,Illinois,United States,bleach_club_tour
1-Oct-89,Champaign,Illinois,United States,bleach_club_tour
2-Oct-89,Kalamazoo,Michigan,United States,bleach_club_tour
3-Oct-89,Ann Arbor,Michigan,United States,bleach_club_tour
6-Oct-89,Cincinnati,Ohio,United States,bleach_club_tour
7-Oct-89,Lawrence,Kansas,United States,bleach_club_tour
8-Oct-89,Omaha,Nebraska,United States,bleach_club_tour
11-Oct-89,Denver,Colorado,United States,bleach_club_tour
13-Oct-89,Boulder,Colorado,United States,bleach_club_tour
14-Oct-89,Salt Lake City,Utah,United States,bleach_club_tour
23-Oct-89,Newcastle upon Tyne,England,United Kingdom,bleach_club_tour
24-Oct-89,Manchester,England,United Kingdom,bleach_club_tour
25-Oct-89,Leeds,England,United Kingdom,bleach_club_tour
27-Oct-89,London,England,United Kingdom,bleach_club_tour
28-Oct-89,Portsmouth,England,United Kingdom,bleach_club_tour
29-Oct-89,Birmingham,England,United Kingdom,bleach_club_tour
30-Oct-89,Norwich,England,United Kingdom,bleach_club_tour
1-Nov-89,Hilversum,North Holland,Netherlands,bleach_club_tour
1-Nov-89,Rotterdam,South Holland,Netherlands,bleach_club_tour
2-Nov-89,Groningen,Groningen,Netherlands,bleach_club_tour
