Date,City,Country,Category
"March 7, 1987 ",Raymond,United States,early_gigs
"April 18, 1987",Tacoma,United States,early_gigs
"May 1, 1987",Olympia,United States,early_gigs
"May 6, 1987",Olympia,United States,early_gigs
"June 12, 1987",Tacoma,United States,early_gigs
"June 27, 1987",Tacoma,United States,early_gigs
"August 9, 1987",Tacoma,United States,early_gigs
"January 23, 1988",Tacoma,United States,early_gigs
"January 24, 1988",Aberdeen,United States,early_gigs
"March 12, 1988",Olympia,United States,early_gigs
"March 19, 1988",Tacoma,United States,early_gigs
"March 26, 1988",Olympia,United States,early_gigs
"April 10, 1988",Seattle,United States,early_gigs
"April 24, 1988",Seattle,United States,early_gigs
"May 14, 1988",Olympia,United States,early_gigs
"May 21, 1988",Olympia,United States,early_gigs
"May 27, 1988",Olympia,United States,early_gigs
"May 29, 1988",Seattle,United States,early_gigs
"June 2, 1988",Seattle,United States,early_gigs
"June 17, 1988",Ellensburg,United States,early_gigs
"June 29, 1988",Seattle,United States,early_gigs
"July 3, 1988",Seattle,United States,early_gigs
"July 23, 1988",Seattle,United States,early_gigs
"July 30, 1988",Seattle,United States,early_gigs
"August 20, 1988",Olympia,United States,early_gigs
"August 29, 1988",Seattle,United States,early_gigs
"October 23, 1988",Bainbridge,United States,early_gigs
"October 28, 1988",Seattle,United States,early_gigs
"October 30, 1988",Olympia,United States,early_gigs
"November 23, 1988",Bellingham,United States,early_gigs
"December 1, 1988",Seattle,United States,early_gigs
"December 21, 1988",Hoquiam,United States,early_gigs
"December 28, 1988",Seattle,United States,early_gigs
"January 6, 1989",Portland,United States,early_gigs
"January 21, 1989",Portland,United States,early_gigs
"February 5, 1989",Olympia,United States,early_gigs
"February 10, 1989",San Francisco,United States,early_gigs
"February 11, 1989",San Jose,United States,early_gigs
"February 25, 1989",Seattle,United States,early_gigs
"February 26, 1989",Olympia,United States,early_gigs
"April 1, 1989",Olympia,United States,early_gigs
"April 7, 1989",Seattle,United States,early_gigs
"April 14, 1989:",Ellensburg,United States,early_gigs
"April 26, 1989",Seattle,United States,early_gigs
"May 26, 1989",Auburn,United States,early_gigs
"June 9, 1989",Seattle,United States,early_gigs
"June 10, 1989",Portland,United States,early_gigs
"June 16, 1989",Olympia,United States,early_gigs
"June 21, 1989",Seattle,United States,bleach_club_tour
"June 22, 1989",San Francisco,United States,bleach_club_tour
"June 23, 1989",Los Angeles,United States,bleach_club_tour
"June 24, 1989",Los Angeles,United States,bleach_club_tour
"June 25, 1989",Tempe,United States,bleach_club_tour
"June 27, 1989",Santa Fe,United States,bleach_club_tour
"June 30, 1989",San Antonio,United States,bleach_club_tour
"July 1, 1989",Houston,United States,bleach_club_tour
"July 2, 1989",Fort Worth,United States,bleach_club_tour
"July 3, 1989",Dallas,United States,bleach_club_tour
"July 4, 1989",Carbondale,United States,bleach_club_tour
"July 5, 1989",Iowa City,United States,bleach_club_tour
"July 6, 1989",Minneapolis,United States,bleach_club_tour
"July 7, 1989",Madison,United States,bleach_club_tour
"July 8, 1989",Chicago,United States,bleach_club_tour
"July 9, 1989",Wilkinsburg,United States,bleach_club_tour
"July 12, 1989",Philadelphia,United States,bleach_club_tour
"July 13, 1989",Hoboken,United States,bleach_club_tour
"July 15, 1989",Jamaica,United States,bleach_club_tour
"July 18, 1989",New York City,United States,bleach_club_tour
"August 26, 1989",Seattle,United States,bleach_club_tour
"August 28, 1989",Seattle,United States,bleach_club_tour
"September 9, 1989",Chicago,United States,bleach_club_tour
"September 13, 1989",Englewood,United States,bleach_club_tour
"September 26, 1989",Seattle,United States,bleach_club_tour
"September 28, 1989",Minneapolis,United States,bleach_club_tour
"September 30, 1989",Chicago,United States,bleach_club_tour
"October 1, 1989",Champaign,United States,bleach_club_tour
"October 2, 1989",Kalamazoo,United States,bleach_club_tour
"October 3, 1989",Ann Arbor,United States,bleach_club_tour
"October 6, 1989",Cincinnati,United States,bleach_club_tour
"October 7, 1989",Lawrence,United States,bleach_club_tour
"October 8, 1989",Omaha,United States,bleach_club_tour
"October 11, 1989",Denver,United States,bleach_club_tour
"October 13, 1989",Boulder,United States,bleach_club_tour
"October 14, 1989",Salt Lake City,United States,bleach_club_tour
"October 23, 1989",Newcastle upon Tyne,United Kingdom,bleach_club_tour
"October 24, 1989",Manchester,United Kingdom,bleach_club_tour
"October 25, 1989",Leeds,United Kingdom,bleach_club_tour
"October 27, 1989",London,United Kingdom,bleach_club_tour
"October 28, 1989",Portsmouth,United Kingdom,bleach_club_tour
"October 29, 1989",Birmingham,United Kingdom,bleach_club_tour
"October 30, 1989",Norwich,United Kingdom,bleach_club_tour
"November 1, 1989",Hilversum,Netherlands,bleach_club_tour
"November 1, 1989",Rotterdam,Netherlands,bleach_club_tour
"November 2, 1989",Groningen,Netherlands,bleach_club_tour
"November 3, 1989",Utrecht,Netherlands,bleach_club_tour
"November 4, 1989",Apeldoorn,Netherlands,bleach_club_tour
"November 5, 1989",Amsterdam,Netherlands,bleach_club_tour
"November 7, 1989",Mönchengladbach,Germany,bleach_club_tour
"November 8, 1989",Cologne,Germany,bleach_club_tour
"November 9, 1989",Hanover,Germany,bleach_club_tour
"November 10, 1989",Enger,Germany,bleach_club_tour
"November 11, 1989",Berlin,Germany,bleach_club_tour
"November 12, 1989",Oldenburg,Germany,bleach_club_tour
"November 13, 1989",Hamburg,Germany,bleach_club_tour
"November 15, 1989",Heidelberg,Germany,bleach_club_tour
"November 16, 1989",Nuremberg,Germany,bleach_club_tour
"November 17, 1989",Gammelsdorf,Germany,bleach_club_tour
"November 18, 1989",Hanau,Germany,bleach_club_tour
"November 20, 1989",Linz,Austria,bleach_club_tour
"November 21, 1989",Budapest,Hungary,bleach_club_tour
"November 22, 1989",Vienna,Austria,bleach_club_tour
"November 23, 1989",Graz,Austria,bleach_club_tour
"November 24, 1989",Hohenems,Austria,bleach_club_tour
"November 25, 1989",Fribourg,Switzerland,bleach_club_tour
"November 26, 1989",Mezzago,Italy,bleach_club_tour
"November 27, 1989",Rome,Italy,bleach_club_tour
"November 29, 1989",Geneva,Switzerland,bleach_club_tour
"November 30, 1989",Zürich,Switzerland,bleach_club_tour
"December 1, 1989",Issy-les-Moulineaux,France,bleach_club_tour
"December 2, 1989",Ghent,Belgium,bleach_club_tour
"December 3, 1989",London,United Kingdom,bleach_club_tour
"January 6, 1990",Seattle,United States,bleach_club_tour
"January 12, 1990",Portland,United States,bleach_club_tour
"January 19, 1990",Olympia,United States,bleach_club_tour
"January 20, 1990",Tacoma,United States,bleach_club_tour
