GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference
R01,1,1,BMT,Astoria,Astoria-Ditmars Blvd,Q,False,N W,Elevated,40.775036,-73.912034,Last Stop,Manhattan,0,0,0,,POINT (-73.912034 40.775036)
R03,2,2,BMT,Astoria,Astoria Blvd,Q,False,N W,Elevated,40.770258,-73.917843,Astoria,Manhattan,1,1,1,,POINT (-73.917843 40.770258)
R04,3,3,BMT,Astoria,30 Av,Q,False,N W,Elevated,40.766779,-73.921479,Astoria,Manhattan,0,0,0,,POINT (-73.921479 40.766779)
R05,4,4,BMT,Astoria,Broadway,Q,False,N W,Elevated,40.76182,-73.925508,Astoria,Manhattan,0,0,0,,POINT (-73.925508 40.76182)
R06,5,5,BMT,Astoria,36 Av,Q,False,N W,Elevated,40.756804,-73.929575,Astoria,Manhattan,0,0,0,,POINT (-73.929575 40.756804)
R08,6,6,BMT,Astoria,39 Av-Dutch Kills,Q,False,N W,Elevated,40.752882,-73.932755,Astoria,Manhattan,0,0,0,,POINT (-73.932755 40.752882)
R11,7,613,BMT,Astoria,Lexington Av/59 St,M,True,N R W,Subway,40.76266,-73.967258,Queens,Downtown,0,0,0,,POINT (-73.967258 40.76266)
R13,8,8,BMT,Astoria,5 Av/59 St,M,True,N R W,Subway,40.764811,-73.973347,Queens,Downtown,0,0,0,,POINT (-73.973347 40.764811)
R14,9,9,BMT,Broadway - Brighton,57 St-7 Av,M,True,N Q R W,Subway,40.764664,-73.980658,Uptown,Downtown,1,1,1,,POINT (-73.980658 40.764664)
R15,10,10,BMT,Broadway - Brighton,49 St,M,True,N R W,Subway,40.759901,-73.984139,Uptown,Downtown,2,1,0,Uptown only,POINT (-73.984139 40.759901)
R16,11,611,BMT,Broadway - Brighton,Times Sq-42 St,M,True,N Q R W,Subway,40.754672,-73.986754,Uptown,Downtown,1,1,1,,POINT (-73.986754 40.754672)
R17,12,607,BMT,Broadway - Brighton,34 St-Herald Sq,M,True,N Q R W,Subway,40.749567,-73.98795,Uptown,Downtown,1,1,1,,POINT (-73.98795 40.749567)
R18,13,13,BMT,Broadway - Brighton,28 St,M,True,R W,Subway,40.745494,-73.988691,Uptown,Downtown,0,0,0,,POINT (-73.988691 40.745494)
R19,14,14,BMT,Broadway - Brighton,23 St,M,True,R W,Subway,40.741303,-73.989344,Uptown,Downtown,0,0,0,,POINT (-73.989344 40.741303)
R20,15,602,BMT,Broadway - Brighton,14 St-Union Sq,M,True,N Q R W,Subway,40.735736,-73.990568,Uptown,Downtown,1,1,1,,POINT (-73.990568 40.735736)
R21,16,16,BMT,Broadway - Brighton,8 St-NYU,M,True,R W,Subway,40.730328,-73.992629,Uptown,Downtown,0,0,0,,POINT (-73.992629 40.730328)
R22,17,17,BMT,Broadway - Brighton,Prince St,M,True,R W,Subway,40.724329,-73.997702,Uptown,Downtown,0,0,0,,POINT (-73.997702 40.724329)
R23,18,623,BMT,Broadway,Canal St,M,True,R W,Subway,40.719527,-74.001775,Uptown,Downtown,0,0,0,,POINT (-74.001775 40.719527)
Q01,19,623,BMT,Manhattan Bridge,Canal St,M,True,N Q,Subway,40.718383,-74.00046,Uptown,Downtown,0,0,0,,POINT (-74.00046 40.718383)
R24,20,20,BMT,Broadway,City Hall,M,True,R W,Subway,40.713282,-74.006978,Uptown,Downtown,0,0,0,,POINT (-74.006978 40.713282)
R25,21,624,BMT,Broadway,Cortlandt St,M,True,R W,Subway,40.710668,-74.011029,Uptown,Downtown,1,1,1,,POINT (-74.011029 40.710668)
R26,22,22,BMT,Broadway,Rector St,M,True,R W,Subway,40.70722,-74.013342,Uptown,Downtown,0,0,0,,POINT (-74.013342 40.70722)
R27,23,635,BMT,Broadway,Whitehall St-South Ferry,M,True,R W,Subway,40.703087,-74.012994,Uptown,Downtown,0,0,0,,POINT (-74.012994 40.703087)
R28,24,620,BMT,Broadway,Court St,Bk,False,R,Subway,40.6941,-73.991777,Manhattan,Southbound,0,0,0,,POINT (-73.991777 40.6941)
R29,25,636,BMT,Broadway,Jay St-MetroTech,Bk,False,R,Subway,40.69218,-73.985942,Manhattan,Southbound,1,1,1,,POINT (-73.985942 40.69218)
R30,26,26,BMT,Broadway - Brighton,DeKalb Av,Bk,False,B Q R,Subway,40.690635,-73.981824,Manhattan,Southbound,1,1,1,,POINT (-73.981824 40.690635)
R31,27,617,BMT,4th Av,Atlantic Av-Barclays Ctr,Bk,False,D N R,Subway,40.683666,-73.97881,Manhattan,Southbound,1,1,1,,POINT (-73.97881 40.683666)
R32,28,28,BMT,4th Av,Union St,Bk,False,R,Subway,40.677316,-73.98311,Manhattan,Southbound,0,0,0,,POINT (-73.98311 40.677316)
R33,29,608,BMT,4th Av,4 Av-9 St,Bk,False,R,Subway,40.670847,-73.988302,Manhattan,Southbound,0,0,0,,POINT (-73.988302 40.670847)
